119,Empire City Beer Company,,New York,New York,10012,9178040571,http://www.hitemhard.com
120,Empire Farm Brewery,33 Rippleton Rd,Cazenovia,New York,13035-9601,3156552337,http://www.empirebrew.com
121,Equilibrium Brewery,22 Henry Street,Middletown,New York,10940,8457754216,http://www.eqbrew.com
122,Erie Canal Brewing Company,135 S Peterboro St,Canastota,New York,13032-1409,3155105001,http://www.eriecanalbrewingcompany.com
123,Fairport Brewing Co,99 S Main St,Fairport,New York,14450-2100,5857520613,http://www.fairportbrewing.com
124,Fairport Brewing Co,1000 Turk Hill Rd Ste 298,Fairport,New York,14450-8755,5857520613,
125,Felicia's Atomic Brewhouse and Bakery,45 E Main St,Trumansburg,New York,14886,6072094229,http://www.atomicbrewhouse.com
126,Ferrari Beer Company,160 Ashford Ave,Dobbs Ferry,New York,10522-1906,9146937340,http://www.ferraribeer.com
127,Fifth Frame Brewing Co.,155 Saint Paul St,Rochester,New York,14604-1144,7168128897,http://www.fifthframe.co
128,Fifth Hammer Brewing Company,10-28 46th Ave,Long Island City,New York,11101-5217,7186632084,http://www.fifthhammerbrewing.com
129,Finback Brewery,78-01 77th Ave,Queens,New York,11385-7518,7186288600,http://www.finbackbrewery.com
130,Finger Lakes Beer Co,8462 State Route 54,Hammondsport,New York,14840-9795,6075693311,
131,Fire Island Beer Co,25 Drexel Dr,Bay Shore,New York,11706-2234,,http://www.fireislandbeer.com
132,Five & 20 Spirits and Brewing,8398 W Route 20,Westfield,New York,14787-9748,7167939463,http://www.fiveand20.com
133,Five Boroughs Brewing Co,215 47th St,Brooklyn,New York,11220-1009,7183558575,http://www.fiveboroughs.com
134,"Flagship Brewery, LLC.",40 Minthorne St,Staten Island,New York,10301-3241,7184485284,http://www.flagshipbrewery.nyc
135,Fleur De Lis Brew Works,3630 State Route 414,Seneca Falls,New York,13148-9202,3156513260,http://www.fleurdelisbrewworks.com
136,Flying Belgian Brewery,211 Main St,Farmingdale,New York,11735-2675,8184577548,http://www.flyingbelgianbrewery.com
137,Flying Bison Brewing Co,840 Seneca St,Buffalo,New York,14210-1414,7168731557,http://www.flyingbisonbrewing.com
138,Folksbier,101 Luquer St # 103,Brooklyn,New York,11231-3308,,http://www.folksbier.com
139,Foothill Hops Farm Brewery,5024 Bear Path Rd,Munnsville,New York,13409-4114,3154952451,http://www.foothillhops.com
140,Foreign Objects Beer Company,,New Paltz,New York,12561-3401,6092871397,http://www.foreignobjectsbeer.com
141,Fort Orange Brewing,450 N Pearl St,Albany,New York,12204-1511,5189923103,http://www.fortorangebrewing.com
142,Four Beasts Brewery,,Brooklyn,New York,11215-2305,3478863834,
143,Four Mile Brewing,202 E Green St,Olean,New York,14760-3606,7163732337,http://www.fourmilebrewing.com
144,Fox N Hare Brewing Company,46 Front St,Port Jervis,New York,12771-2415,3172095767,http://www.foxnhare-brewing.com
145,Freight Yard Brewing LLC,4975 State Route 31,Clay,New York,13041,3158342529,http://www.freightyardbrewing.com
146,From the Ground Brewery,245 Guski Rd,Red Hook,New York,12571-3316,8453098100,http://www.fromthegroundbrewery.com
147,Full Boar Craft Brewery,628 S Main St Ste C,North Syracuse,New York,13212-3687,3158024784,http://www.fullboarbrew.com
148,Fulton Chain Craft Brewery,127 North St,Old Forge,New York,13420-3300,3155250222,http://www.fccbrewery.com
149,Gael Brewing Co,4180 State Route 14,Geneva,New York,14456-9753,3152200190,http://www.gaelbrewing.com
150,Galaxy Brewing Co,"41 Court St, 153 & 157",Binghamton,New York,13901-3104,6072174815,http://www.galaxybrewingco.com
151,Garden of Eve Farm Brewery,4558 Sound Ave,Riverhead,New York,11901-1207,6317228777,http://www.facebook.com/farmbrewery
152,Garland City Beer Works,,Watertown,New York,13601-2423,3157832577,http://www.garlandcitybeerworks.com
153,Garvies Point Brewery,1 Garvies Point Rd,Glen Cove,New York,11542-2821,5168151999,http://www.garviespointbrewery.com
154,G.C. Starkey Beer Company,68 Castle St Apt 1C,Geneva,New York,14456-2648,6076784043,http://www.starkeyslookout.com
155,Gene McCarthy's/Old First Ward Brewing Company,73 Hamburg St,Buffalo,New York,14204-2719,7168558948,http://www.genemccarthys.com
156,Genesee Brew House / North American Breweries,25 Cataract St,Rochester,New York,14605,5852639200,http://www.geneseebeer.com
157,Gentle Giant Brewing Company,7 N Main St,Pearl River,New York,10965-2318,,http://gentlegiantbrewing.com/
158,Gilded Otter Brewing Co,3 Main St,New Paltz,New York,12561-1742,8452561700,http://www.gildedotter.com
159,"Glenmere Brewing Co, Inc",55 Maple Ave,Florida,New York,10921-1124,8456511939,http://www.glenmerebrewingco.com
160,Good Nature Farm Brewery,1727 State Route 12b,Hamilton,New York,13346-2268,3158242337,http://goodnaturebrewing.com
